flight_id,flight_date,month,day_of_week,airline_code,airline_name,origin,destination,scheduled_departure,scheduled_arrival,departure_delay,arrival_delay,cancelled,cancellation_code,cancellation_reason,diverted,distance,air_time,on_time
1000,2023-10-09,10,Monday,DL,Delta Air Lines,ATL,LAX,13:15,18:30,16.0,28.0,0,,,0,1946,305.0,No
1001,2023-06-19,6,Monday,NK,Spirit Airlines,SEA,SFO,14:00,16:10,97.0,102.0,0,,,0,679,144.0,No
1002,2023-02-13,2,Monday,F9,Frontier Airlines,SEA,LAX,08:30,11:15,1.0,3.0,0,,,0,954,176.0,Yes
1003,2023-05-12,5,Friday,AS,Alaska Airlines,JFK,MIA,12:30,15:25,-8.0,4.0,0,,,0,1090,172.0,Yes
1004,2023-11-02,11,Thursday,AA,American Airlines,SEA,SFO,16:45,18:55,29.0,46.0,0,,,0,679,132.0,No
1005,2023-05-12,5,Friday,NK,Spirit Airlines,BOS,JFK,13:15,14:15,23.0,21.0,0,,,0,187,71.0,No
1006,2023-09-18,9,Monday,AA,American Airlines,ORD,DFW,14:30,17:00,4.0,-15.0,0,,,0,802,148.0,Yes
1007,2023-05-25,5,Thursday,WN,Southwest Airlines,DFW,LAX,11:00,14:15,-7.0,-4.0,0,,,0,1235,194.0,Yes
1008,2023-09-16,9,Saturday,UA,United Airlines,DFW,LAX,11:30,14:45,-4.0,2.0,0,,,0,1235,207.0,Yes
1009,2023-04-01,4,Saturday,WN,southwest airlines,LAX,JFK,13:15,18:45,,,1,B,Weather,0,2475,,Cancelled
1010,2023-09-16,9,Saturday,WN,Southwest Airlines,BOS,ORD,12:15,14:50,5.0,-8.0,0,,,0,851,151.0,Yes
1011,2023-05-24,5,Wednesday,DL,Delta Air Lines,ATL,ORD,16:00,18:10,9.0,8.0,0,,,0,606,127.0,Yes
1012,2023-12-25,12,Monday,AA,American Airlines,LAX,JFK,13:15,18:45,2.0,,0,,,0,2475,332.0,
1013,2023-03-10,3,Friday,F9,Frontier Airlines,DFW,LAX,12:00,15:15,17.0,22.0,0,,,0,1235,201.0,No
1014,2023-05-04,5,Thursday,DL,Delta Air Lines,SEA,SFO,13:00,15:10,0.0,-7.0,0,,,0,679,127.0,Yes
1015,2023-08-19,8,Saturday,AA,American Airlines,SFO,JFK,09:00,14:40,-6.0,-4.0,0,,,0,2586,341.0,Yes
1016,2023-04-22,4,Saturday,AA,American Airlines,SEA,LAX,09:15,12:00,-6.0,-7.0,0,,,0,954,165.0,Yes
1017,2023-11-09,11,Thursday,DL,Delta Air Lines,MSP,ATL,07:00,09:35,5.0,5.0,0,,,0,907,158.0,Yes
1018,2023-07-05,7,Wednesday,AS,alaska airlines,BOS,JFK,19:15,20:15,,,1,A,Carrier,0,187,,Cancelled
1019,2023-05-25,5,Thursday,WN,Southwest Airlines,ORD,DFW,19:15,21:45,33.0,53.0,0,,,0,802,140.0,No
1020,2023-02-26,2,Sunday,WN,Southwest Airlines,BOS,ORD,09:45,12:20,-3.0,-9.0,0,,,0,851,154.0,Yes
1021,2023-05-21,5,Sunday,DL,DELTA AIR LINES,BOS,ORD,22:45,01:20,0.0,-15.0,0,,,0,851,150.0,Yes
1022,2023-08-17,8,Thursday,AS,Alaska Airlines,MSP,ATL,09:45,12:20,14.0,31.0,0,,,0,907,170.0,No
1023,2023-04-22,4,Saturday,AS,Alaska Airlines,ATL,DFW,09:30,11:50,0.0,-3.0,0,,,0,732,136.0,Yes
1024,2023-04-07,4,Friday,AA,American Airlines,MCO,ATL,19:30,21:10,-4.0,1.0,0,,,0,404,115.0,Yes
1025,2023-03-26,3,Sunday,WN,Southwest Airlines,MCO,ATL,12:15,13:55,,,1,A,Carrier,0,404,,Cancelled
1026,2023-06-13,6,Tuesday,WN,Southwest Airlines,IAH,ORD,13:15,15:55,37.0,56.0,0,,,0,925,157.0,No
1027,2023-11-15,11,Wednesday,F9,Frontier Airlines,DFW,LAX,22:30,01:45,3.0,2.0,0,,,0,1235,200.0,Yes
1028,2023-06-03,6,Saturday,WN,Southwest Airlines,BOS,ORD,15:15,17:50,9.0,6.0,0,,,0,851,167.0,Yes
1029,2023-12-25,12,Monday,NK,Spirit Airlines,IAH,ORD,06:45,09:25,-1.0,-3.0,0,,,0,925,163.0,Yes
1030,2023-05-11,5,Thursday,F9,Frontier Airlines,ATL,LAX,18:15,23:30,-10.0,-3.0,0,,,0,1946,307.0,Yes
1031,2023-10-13,10,Friday,AS,alaska airlines,LAS,LAX,14:45,15:50,36.0,54.0,0,,,0,236,66.0,No
1032,2023-02-08,2,Wednesday,AA,American Airlines,ATL,DFW,10:45,13:05,-4.0,-1.0,0,,,0,732,135.0,Yes
1033,2023-07-22,7,Saturday,AA,American Airlines,MCO,ATL,18:45,20:25,45.0,62.0,0,,,0,404,112.0,No
1034,2023-06-22,6,Thursday,AS,Alaska Airlines,SEA,LAX,17:00,19:45,3.0,0.0,0,,,0,954,175.0,Yes
1035,2023-06-27,6,Tuesday,F9,Frontier Airlines,SFO,JFK,14:30,20:10,-8.0,-7.0,0,,,0,2586,344.0,Yes
1036,2023-04-09,4,Sunday,AS,Alaska Airlines,BOS,ORD,14:00,16:35,6.0,24.0,0,,,0,851,152.0,No
1037,2023-09-19,9,Tuesday,WN,Southwest Airlines,MCO,ATL,17:45,19:25,0.0,-4.0,0,,,0,404,98.0,Yes
1038,2023-10-16,10,Monday,WN,Southwest Airlines,DEN,LAX,14:30,17:05,-1.0,-8.0,0,,,0,862,167.0,Yes
1039,2023-12-01,12,Friday,F9,Frontier Airlines,ORD,DFW,15:45,18:15,8.0,11.0,0,,,0,802,142.0,Yes
1040,2023-03-04,3,Saturday,B6,JetBlue Airways,LAX,JFK,19:15,00:45,20.0,29.0,0,,,0,2475,333.0,No
1041,2023-09-03,9,Sunday,WN,Southwest Airlines,BOS,ORD,11:15,13:50,6.0,14.0,0,,,0,851,154.0,Yes
1042,2023-09-26,9,Tuesday,B6,JetBlue Airways,BOS,JFK,12:45,13:45,14.0,17.0,0,,,0,187,55.0,No
1043,2023-03-17,3,Friday,B6,JetBlue Airways,IAH,ORD,21:45,00:25,21.0,39.0,0,,,0,925,152.0,No
1044,2023-01-25,1,Wednesday,B6,JetBlue Airways,BOS,JFK,11:45,12:45,13.0,13.0,0,,,0,187,65.0,Yes
1045,2023-04-22,4,Saturday,NK,Spirit Airlines,MIA,LAX,18:00,23:55,29.0,27.0,0,,,0,2757,361.0,No
1046,2023-10-02,10,Monday,F9,frontier airlines,SFO,JFK,12:30,18:10,4.0,0.0,0,,,0,2586,349.0,Yes
1047,2023-02-21,2,Tuesday,DL,Delta Air Lines,SFO,JFK,10:45,16:25,15.0,18.0,0,,,0,2586,345.0,No
1048,2023-10-26,10,Thursday,DL,Delta Air Lines,BOS,ORD,19:30,22:05,-10.0,-6.0,0,,,0,851,163.0,Yes
1049,2023-12-11,12,Monday,NK,Spirit Airlines,SFO,JFK,12:15,17:55,25.0,33.0,0,,,0,2586,352.0,No
1050,2023-07-19,7,Wednesday,AA,American Airlines,DFW,LAX,16:00,19:15,4.0,-15.0,0,,,0,1235,205.0,Yes
1051,2023-12-22,12,Friday,DL,Delta Air Lines,LAS,LAX,18:30,19:35,5.0,2.0,0,,,0,236,75.0,Yes
1052,2023-02-23,2,Thursday,DL,Delta Air Lines,SFO,JFK,15:00,20:40,,,1,C,National Air System,0,2586,,Cancelled
1053,2023-02-03,2,Friday,UA,United Airlines,JFK,MIA,18:15,21:10,-3.0,-1.0,0,,,1,1090,186.0,Yes
1054,2023-04-21,4,Friday,AS,Alaska Airlines,BOS,JFK,19:30,20:30,2.0,0.0,0,,,0,187,61.0,Yes
1055,2023-10-16,10,Monday,AA,American Airlines,ATL,DFW,15:15,17:35,-4.0,4.0,0,,,0,732,154.0,Yes
1056,2023-07-12,7,Wednesday,F9,Frontier Airlines,ATL,ORD,10:00,12:10,20.0,20.0,0,,,0,606,131.0,No
1057,2023-11-04,11,Saturday,B6,JetBlue Airways,LAS,LAX,20:00,21:05,2.0,2.0,0,,,0,236,55.0,Yes
1058,2023-09-08,9,Friday,AS,Alaska Airlines,ORD,DFW,21:00,23:30,0.0,4.0,0,,,0,802,154.0,Yes
1059,2023-02-08,2,Wednesday,F9,Frontier Airlines,ORD,DFW,10:45,13:15,3.0,3.0,0,,,0,802,153.0,Yes
1060,2023-06-08,6,Thursday,WN,Southwest Airlines,SFO,JFK,17:00,22:40,27.0,42.0,0,,,0,2586,336.0,No
1061,2023-11-11,11,Saturday,AA,american airlines,ATL,ORD,13:15,15:25,37.0,56.0,0,,,0,606,127.0,No
